,Sem_1,Sem_2,Sem_3,Sem_4,Sem_5,Sem_6,Sem_7,Sem_8
0,69.71428571,74.85714286,69.71428571,90.83333333,67.14285714,63.71428571,73.0,67.0
1,72.28571429,67.66666667,63.71428571,75.57142857,63.85714286,68.66666667,68.42857143,84.83333333
2,72.0,61.71428571,78.33333333,77.14285714,60.57142857,77.42857143,67.85714286,77.57142857
3,64.28571429,74.14285714,76.71428571,74.66666667,68.0,66.28571429,78.85714286,56.42857143
4,79.71428571,72.14285714,60.42857143,69.16666667,67.28571429,79.42857143,76.0,67.28571429
5,84.14285714,71.33333333,69.0,80.85714286,53.28571429,69.57142857,81.0,75.85714286
6,74.42857143,76.66666667,66.85714286,66.71428571,74.57142857,76.14285714,61.83333333,72.42857143
7,60.28571429,72.57142857,71.57142857,63.0,65.0,66.85714286,77.28571429,62.42857143
8,65.14285714,69.14285714,68.57142857,65.85714286,63.71428571,59.0,80.14285714,78.33333333
9,67.5,68.28571429,62.85714286,77.0,85.57142857,70.33333333,75.14285714,71.71428571
10,75.71428571,66.0,70.66666667,65.14285714,69.33333333,55.0,65.14285714,57.28571429
11,71.42857143,81.14285714,59.28571429,68.57142857,77.14285714,66.42857143,75.57142857,72.14285714
12,51.85714286,85.57142857,66.14285714,71.85714286,57.71428571,64.0,63.42857143,66.42857143
13,81.0,60.85714286,73.28571429,53.71428571,76.28571429,83.42857143,83.42857143,67.5
14,73.42857143,60.71428571,72.83333333,68.66666667,77.0,72.14285714,74.14285714,70.42857143
15,64.85714286,66.57142857,78.28571429,75.28571429,66.71428571,60.0,83.42857143,70.8
16,58.14285714,57.57142857,69.83333333,67.28571429,74.71428571,63.28571429,66.71428571,63.14285714
17,70.14285714,72.0,79.42857143,61.42857143,85.85714286,76.85714286,85.42857143,65.14285714
18,77.57142857,64.14285714,67.57142857,65.28571429,71.14285714,62.28571429,71.83333333,66.0
19,68.83333333,60.57142857,68.14285714,68.42857143,72.42857143,76.14285714,62.57142857,68.14285714
20,72.42857143,71.14285714,74.14285714,83.16666667,68.57142857,70.14285714,69.14285714,67.0
21,69.16666667,61.0,78.28571429,66.42857143,59.0,69.0,79.14285714,66.0
22,75.85714286,66.14285714,59.28571429,87.85714286,72.71428571,72.14285714,74.71428571,60.28571429
23,71.85714286,70.57142857,81.42857143,78.85714286,54.85714286,72.42857143,68.14285714,60.42857143
24,73.0,77.57142857,74.33333333,71.85714286,69.14285714,66.28571429,59.28571429,80.85714286
25,54.28571429,79.83333333,70.28571429,61.71428571,68.0,73.14285714,77.14285714,74.85714286
26,75.33333333,63.57142857,70.85714286,68.57142857,71.83333333,77.14285714,66.0,68.57142857
27,69.14285714,66.14285714,64.42857143,75.85714286,68.71428571,75.28571429,60.57142857,81.66666667
28,63.57142857,69.14285714,76.14285714,71.0,62.28571429,70.85714286,61.83333333,55.0
29,67.71428571,70.2,73.66666667,57.57142857,73.85714286,62.0,77.28571429,69.66666667
30,74.0,62.57142857,77.28571429,76.57142857,71.42857143,68.85714286,62.57142857,68.57142857
31,72.57142857,64.85714286,69.14285714,66.42857143,70.85714286,65.0,65.0,92.8
32,75.71428571,73.0,64.0,76.33333333,68.28571429,70.85714286,62.14285714,70.28571429
33,67.0,57.14285714,73.28571429,78.14285714,73.57142857,67.85714286,73.71428571,69.28571429
34,68.57142857,64.0,70.42857143,64.33333333,62.16666667,62.42857143,71.71428571,81.28571429
35,54.42857143,52.42857143,68.85714286,76.14285714,87.16666667,70.71428571,73.16666667,65.85714286
36,73.14285714,67.66666667,64.42857143,68.28571429,72.14285714,77.85714286,57.71428571,73.85714286
37,81.0,58.71428571,68.57142857,70.71428571,73.42857143,73.42857143,49.14285714,59.14285714
38,66.42857143,57.57142857,72.57142857,61.83333333,64.14285714,76.28571429,54.85714286,62.16666667
39,67.71428571,76.57142857,63.14285714,71.57142857,66.57142857,61.57142857,82.85714286,65.66666667
40,67.0,64.28571429,67.57142857,82.16666667,70.57142857,79.28571429,80.85714286,67.83333333
41,61.16666667,65.0,58.0,68.71428571,79.14285714,72.71428571,71.85714286,75.33333333
42,72.57142857,64.0,77.28571429,69.57142857,59.0,70.0,47.14285714,67.14285714
43,80.71428571,65.28571429,64.42857143,57.0,66.85714286,70.0,72.66666667,70.57142857
44,78.14285714,69.57142857,70.57142857,73.42857143,64.71428571,76.66666667,69.6,80.28571429
45,69.28571429,66.42857143,63.71428571,76.57142857,64.71428571,70.57142857,83.16666667,71.28571429
46,63.28571429,67.85714286,78.28571429,71.42857143,76.42857143,65.85714286,70.85714286,57.28571429
