Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,percentage,sum,Department_ID,Department_Name
SID20131143,Sem_1,44.0,74.0,80.0,44.0,95.0,61.0,90.0,69.71428571,488,IDEPT7783,CDEEP
SID20131143,Sem_2,92.0,57.0,91.0,84.0,80.0,66.0,54.0,74.85714286,524,IDEPT7783,CDEEP
SID20131143,Sem_3,76.0,83.0,41.0,80.0,69.0,73.0,66.0,69.71428571,488,IDEPT7783,CDEEP
SID20131143,Sem_4,78.0,83.0,94.0,,99.0,100.0,91.0,90.83333333,545,IDEPT7783,CDEEP
SID20131143,Sem_5,92.0,44.0,69.0,60.0,97.0,22.0,86.0,67.14285714,470,IDEPT7783,CDEEP
SID20131143,Sem_6,98.0,84.0,46.0,76.0,54.0,46.0,42.0,63.71428571,446,IDEPT7783,CDEEP
SID20131143,Sem_7,94.0,53.0,54.0,88.0,86.0,55.0,81.0,73.0,511,IDEPT7783,CDEEP
SID20131143,Sem_8,58.0,64.0,42.0,98.0,62.0,51.0,94.0,67.0,469,IDEPT7783,CDEEP
SID20131582,Sem_1,87.0,98.0,20.0,78.0,52.0,73.0,98.0,72.28571429,506,IDEPT7783,CDEEP
SID20131582,Sem_2,82.0,51.0,44.0,92.0,54.0,,83.0,67.66666667,406,IDEPT7783,CDEEP
SID20131582,Sem_3,44.0,66.0,75.0,50.0,65.0,46.0,100.0,63.71428571,446,IDEPT7783,CDEEP
SID20131582,Sem_4,89.0,45.0,67.0,99.0,86.0,78.0,65.0,75.57142857,529,IDEPT7783,CDEEP
SID20131582,Sem_5,81.0,56.0,43.0,78.0,100.0,41.0,48.0,63.85714286,447,IDEPT7783,CDEEP
SID20131582,Sem_6,57.0,,78.0,94.0,52.0,67.0,64.0,68.66666667,412,IDEPT7783,CDEEP
SID20131582,Sem_7,54.0,87.0,67.0,90.0,42.0,52.0,87.0,68.42857143,479,IDEPT7783,CDEEP
SID20131582,Sem_8,93.0,97.0,,84.0,75.0,90.0,70.0,84.83333333,509,IDEPT7783,CDEEP
